"","PROTID","X2021_01_20_CORALEGGS_10B_23_NUMSPECSTOT","X2021_01_20_CORALEGGS_10NB_13_NUMSPECSTOT","X2021_01_20_CORALEGGS_13B_07_NUMSPECSTOT","X2021_01_20_CORALEGGS_13NB_22_NUMSPECSTOT","X2021_01_20_CORALEGGS_21B_17_NUMSPECSTOT","X2021_01_20_CORALEGGS_21NB_09_NUMSPECSTOT","X2021_01_20_CORALEGGS_26B_21_NUMSPECSTOT","X2021_01_20_CORALEGGS_26NB_15_NUMSPECSTOT","X2021_01_20_CORALEGGS_66B_14_NUMSPECSTOT","X2021_01_20_CORALEGGS_66NB_16_NUMSPECSTOT","X2021_01_20_CORALEGGS_74B_08_NUMSPECSTOT","X2021_01_20_CORALEGGS_74NB_20_NUMSPECSTOT"
"980","lcl|c224890_g1_i1|m.10217",4,3,3,3,3,4,5,3,3,4,2,3
"981","lcl|c225009_g5_i8|m.10303",2,2,2,3,2,2,2,3,1,2,2,4
"982","lcl|c225015_g2_i1|m.10306",1,2,1,0,0,0,0,1,0,2,1,2
"983","lcl|c225281_g3_i2|m.10487",3,0,1,1,2,2,1,2,2,5,3,1
"984","lcl|c225352_g1_i1|m.10544",10,12,8,9,10,5,9,10,5,9,9,7
"985","lcl|c225538_g6_i2|m.10715",1,1,0,0,2,3,0,0,2,1,1,1
"986","lcl|c225568_g5_i1|m.10738",1,4,1,3,5,5,1,0,0,3,5,4
"987","lcl|c225590_g2_i4|m.10752",2,6,5,6,7,5,4,5,5,6,6,7
"988","lcl|c225593_g2_i3|m.10758",1,1,1,1,4,2,0,0,0,0,0,2
"989","lcl|c225668_g5_i2|m.10809",3,1,1,3,4,1,1,3,3,2,0,1
"990","lcl|c225713_g4_i1|m.10851",1,1,2,2,2,1,1,3,2,2,1,2
"991","lcl|c225761_g6_i1|m.10925",4,3,2,7,6,1,4,6,6,3,5,7
"992","lcl|c201141_g1_i1|m.1178",17,11,14,15,25,16,15,18,21,23,22,19
"993","lcl|c225867_g3_i1|m.11000",9,4,5,5,5,7,6,9,3,6,7,8
"994","lcl|c226046_g1_i2|m.11150",3,3,2,3,2,3,3,3,2,3,3,2
"995","lcl|c226079_g3_i1|m.11187",2,3,2,4,2,2,0,0,2,2,6,3
"996","lcl|c226084_g3_i2|m.11194",2,4,1,3,3,3,2,2,1,4,3,3
"997","lcl|c226189_g2_i2|m.11277",1,2,1,3,3,3,3,3,2,2,2,3
"998","lcl|c226211_g2_i1|m.11296",1,1,1,1,1,1,1,2,2,2,2,4
"999","lcl|c226216_g1_i2|m.11298",2,3,2,3,3,4,3,2,3,3,2,3
"1000","lcl|c201155_g1_i1|m.1182",6,4,4,5,7,5,2,6,4,5,4,5
"1001","lcl|c226287_g1_i2|m.11357",2,2,1,1,1,1,2,2,3,3,1,1
"1002","lcl|c226335_g2_i1|m.11421",3,7,6,7,9,6,3,1,4,6,7,12
"1003","lcl|c226344_g7_i1|m.11422",2,3,2,2,2,4,0,2,1,1,4,2
"1004","lcl|c226371_g1_i5|m.11440",1,2,2,2,3,4,0,0,1,2,1,2
"1005","lcl|c226389_g3_i1|m.11454",2,0,0,0,0,0,1,1,2,1,2,1
"1006","lcl|c226414_g3_i1|m.11460",2,2,1,0,1,1,1,2,1,1,2,3
"1007","lcl|c226445_g4_i2|m.11481",0,1,3,3,6,2,1,0,0,1,2,5
"1008","lcl|c226454_g2_i18|m.11489",0,1,0,1,0,2,0,0,0,2,0,1
"1009","lcl|c201413_g4_i1|m.1201",2,1,2,1,1,1,2,2,2,0,3,3
"1010","lcl|c226593_g2_i1|m.11607",5,6,3,4,8,5,6,6,3,7,6,6
"1011","lcl|c226613_g4_i1|m.11622",2,4,2,4,2,5,1,3,2,2,5,4
"1012","lcl|c226646_g2_i4|m.11674",1,1,2,4,1,0,3,2,2,2,2,1
"1013","lcl|c226715_g5_i2|m.11728",2,1,1,1,2,1,1,1,1,3,0,1
"1014","lcl|c226723_g5_i2|m.11731",7,5,6,8,9,9,6,10,9,10,8,11
"1015","lcl|c226756_g1_i2|m.11747",1,1,1,1,1,1,2,1,1,1,3,0
"1016","lcl|c226771_g1_i2|m.11774",2,1,1,1,0,1,2,0,1,0,1,1
"1017","lcl|c226774_g3_i2|m.11777",3,4,4,2,2,3,2,7,4,4,4,3
"1018","lcl|c226875_g2_i1|m.11884",2,3,3,2,2,4,1,0,0,3,1,3
"1019","lcl|c202472_g1_i1|m.1259",6,18,10,16,13,14,4,7,6,18,12,18
"1020","lcl|c226971_g4_i11|m.11980",1,2,1,2,2,1,2,2,1,1,1,1
"1021","lcl|c226990_g1_i2|m.12024",5,5,3,2,2,3,3,4,3,4,4,2
"1022","lcl|c227123_g7_i4|m.12180",0,1,1,1,2,1,1,1,1,1,1,2
"1023","lcl|c227136_g2_i8|m.12192",3,1,4,6,4,4,4,4,3,5,4,3
"1024","lcl|c227188_g1_i1|m.12222",3,3,3,2,7,7,2,3,5,5,4,4
"1025","lcl|c227265_g2_i4|m.12287",0,1,2,1,3,1,0,0,0,1,0,2
"1026","lcl|c227267_g3_i2|m.12289",1,1,3,1,1,1,0,1,1,1,2,0
"1027","lcl|c227290_g1_i5|m.12317",1,1,2,1,0,1,1,2,2,2,2,2
"1028","lcl|c227293_g2_i4|m.12320",2,3,3,2,3,3,4,4,3,3,5,3
"1029","lcl|c227297_g1_i3|m.12321",3,3,1,2,3,2,3,1,1,1,1,3
"1030","lcl|c227361_g2_i9|m.12363",3,5,3,5,6,4,1,3,2,1,5,6
"1031","lcl|c227414_g2_i1|m.12410",5,3,3,6,2,4,1,4,3,3,3,4
"1032","lcl|c227571_g1_i1|m.12592",1,1,0,0,1,2,0,0,0,0,2,2
"1033","lcl|c227657_g3_i1|m.12650",4,2,2,3,3,2,2,2,2,3,3,5
"1034","lcl|c227683_g10_i1|m.12674",8,4,4,6,5,5,6,6,5,4,6,12
"1035","lcl|c227713_g1_i1|m.12700",2,2,1,2,0,1,2,1,1,2,1,2
"1036","lcl|c227721_g2_i2|m.12707",8,8,5,5,5,7,6,9,8,7,6,6
"1037","lcl|c227738_g1_i4|m.12717",2,2,0,0,2,2,1,2,2,1,2,2
"1038","lcl|c227847_g4_i2|m.12829",0,0,2,0,1,1,0,0,1,2,4,2
"1039","lcl|c203193_g1_i1|m.1308",3,3,3,5,4,5,5,3,7,5,4,6
"1040","lcl|c227927_g4_i1|m.12894",1,1,1,0,1,2,1,1,0,1,1,0
"1041","lcl|c227928_g3_i2|m.12899",1,2,3,2,2,2,1,1,2,2,2,3
"1042","lcl|c227969_g2_i1|m.12933",4,0,4,3,4,2,4,2,1,3,2,4
"1043","lcl|c228016_g1_i1|m.12966",6,3,2,3,8,5,4,5,6,3,1,3
"1044","lcl|c228019_g7_i5|m.12973",2,2,2,3,3,3,4,4,4,4,3,2
"1045","lcl|c228038_g3_i1|m.12994",2,2,2,1,0,3,1,3,3,3,3,2
"1046","lcl|c228164_g3_i4|m.13090",0,2,2,2,3,2,1,1,1,3,2,3
"1047","lcl|c228221_g2_i9|m.13137",6,2,0,1,6,1,3,5,3,3,6,4
"1048","lcl|c228247_g2_i1|m.13162",4,7,3,3,4,4,6,5,3,4,5,4
"1049","lcl|c228317_g4_i1|m.13231",7,6,5,5,4,5,5,6,4,5,5,4
"1050","lcl|c228325_g7_i1|m.13245",1,1,1,1,0,1,1,1,1,3,2,2
"1051","lcl|c228390_g1_i2|m.13299",4,5,5,4,3,1,4,4,5,6,3,4
"1052","lcl|c228506_g1_i2|m.13379",14,14,11,12,16,16,10,10,9,13,13,17
"1053","lcl|c228524_g1_i1|m.13396",1,0,1,2,0,0,0,0,1,2,2,2
"1054","lcl|c228583_g6_i1|m.13441",7,4,2,2,2,3,2,4,4,5,3,5
"1055","lcl|c228621_g3_i1|m.13469",0,0,2,0,1,2,0,0,1,2,0,1
"1056","lcl|c228665_g3_i2|m.13504",3,3,2,1,2,2,1,4,4,3,2,1
"1057","lcl|c228692_g3_i3|m.13558",2,1,1,3,2,3,1,0,0,4,6,6
"1058","lcl|c228778_g1_i1|m.13644",2,0,2,1,1,0,1,1,2,1,3,2
"1059","lcl|c204986_g3_i2|m.1414",2,2,2,3,3,3,3,2,1,2,3,3
"1060","lcl|c228789_g1_i1|m.13647",5,3,2,3,2,1,5,6,3,1,5,4
"1061","lcl|c228838_g1_i2|m.13701",2,1,0,0,3,2,1,1,1,4,3,1
"1062","lcl|c228847_g1_i2|m.13712",4,3,4,2,4,5,5,4,3,6,4,3
"1063","lcl|c228868_g10_i1|m.13735",2,1,2,1,1,0,0,1,3,1,2,1
"1064","lcl|c228945_g3_i1|m.13808",6,11,7,9,11,9,7,3,8,10,9,9
"1065","lcl|c228994_g6_i1|m.13852",4,2,5,4,2,2,4,2,5,3,1,2
"1066","lcl|c229012_g1_i10|m.13873",0,1,1,1,0,1,0,1,0,0,1,0
"1067","lcl|c229025_g3_i1|m.13888",1,2,1,1,1,1,1,1,1,1,1,1
"1068","lcl|c229041_g1_i1|m.13901",1,2,1,1,2,3,1,2,3,2,0,2
"1069","lcl|c229093_g1_i2|m.13957",2,0,2,1,2,0,1,0,3,2,1,3
"1070","lcl|c205417_g1_i1|m.1460",9,7,7,8,8,8,11,10,8,10,11,12
"1071","lcl|c229134_g1_i1|m.13988",3,2,3,2,2,3,3,3,3,3,3,3
"1072","lcl|c229298_g2_i1|m.14136",9,10,7,12,11,7,7,13,7,10,7,12
"1073","lcl|c229310_g3_i5|m.14142",1,2,2,2,1,1,2,3,2,3,1,2
"1074","lcl|c229331_g1_i1|m.14165",0,2,0,0,0,1,0,2,1,1,2,0
"1075","lcl|c229340_g1_i1|m.14173",6,9,3,5,4,4,3,4,2,8,4,8
"1076","lcl|c229461_g3_i2|m.14279",1,2,2,1,0,2,1,1,0,1,2,2
"1077","lcl|c229515_g4_i2|m.14353",6,3,4,6,3,3,5,5,3,5,4,6
"1078","lcl|c229646_g1_i2|m.14480",4,1,2,2,2,1,3,1,2,2,2,3
"1079","lcl|c205554_g2_i2|m.1468",4,3,2,2,3,4,3,2,2,3,4,4
"1080","lcl|c229705_g1_i1|m.14556",4,9,8,8,11,9,2,3,3,13,9,14
"1081","lcl|c229735_g7_i1|m.14573",4,7,4,12,4,9,1,5,3,8,7,10
"1082","lcl|c229781_g4_i1|m.14624",11,9,10,7,10,10,12,8,7,13,12,12
"1083","lcl|c229808_g3_i3|m.14640",1,1,2,3,3,3,4,2,3,2,4,2
"1084","lcl|c229913_g3_i1|m.14763",5,6,5,2,6,5,4,5,3,6,4,5
"1085","lcl|c229917_g4_i4|m.14770",2,1,0,1,1,1,2,1,0,3,2,0
"1086","lcl|c229936_g2_i1|m.14790",0,3,1,1,2,1,2,1,1,2,3,3
"1087","lcl|c230034_g1_i1|m.14877",2,4,3,2,5,4,3,3,3,4,5,3
"1088","lcl|c230065_g1_i2|m.14908",2,1,1,0,1,2,2,2,2,1,1,2
"1089","lcl|c205697_g1_i1|m.1481",7,9,10,8,11,13,12,13,12,14,13,13
"1090","lcl|c230102_g4_i1|m.14957",2,1,3,2,1,1,1,2,1,2,2,2
"1091","lcl|c230104_g4_i1|m.14959",1,2,1,3,3,1,2,2,2,3,2,1
"1092","lcl|c230150_g4_i2|m.14989",2,1,1,2,3,2,1,1,1,1,2,3
"1093","lcl|c230171_g1_i1|m.15015",0,0,1,1,1,1,2,1,2,3,2,2
"1094","lcl|c230197_g3_i5|m.15044",4,2,4,2,4,2,2,3,5,4,3,5
"1095","lcl|c230270_g1_i2|m.15107",1,1,2,2,2,1,1,2,2,1,2,2
"1096","lcl|c230297_g1_i1|m.15137",3,3,3,3,1,2,3,4,4,3,3,5
"1097","lcl|c230355_g4_i3|m.15198",6,7,5,6,5,7,7,5,5,5,7,8
"1098","lcl|c230411_g4_i1|m.15261",1,0,1,0,1,0,1,0,2,1,2,1
"1099","lcl|c205892_g1_i1|m.1492",0,0,0,0,0,0,1,2,1,2,1,0
"1100","lcl|c230414_g1_i1|m.15275",0,0,2,1,3,5,0,0,1,4,4,2
"1101","lcl|c230486_g3_i2|m.15359",5,3,5,7,4,6,3,5,4,3,4,7
"1102","lcl|c230503_g4_i1|m.15369",1,0,1,2,1,1,1,5,2,2,2,1
"1103","lcl|c230570_g2_i2|m.15424",1,3,1,2,7,4,0,1,1,3,2,7
"1104","lcl|c230707_g4_i1|m.15549",1,1,1,1,2,1,2,1,1,1,1,1
"1105","lcl|c230758_g1_i1|m.15596",1,1,1,2,1,2,1,1,2,2,2,4
"1106","lcl|c230771_g2_i1|m.15607",6,7,6,11,8,9,5,8,4,8,6,11
"1107","lcl|c230960_g1_i5|m.15839",0,1,1,2,2,3,1,0,3,4,2,3
"1108","lcl|c231028_g3_i1|m.15895",0,0,1,0,2,2,1,0,0,1,0,0
"1109","lcl|c206357_g1_i1|m.1529",0,1,0,1,0,0,0,0,0,0,0,0
"1110","lcl|c231052_g3_i3|m.15929",2,3,6,2,4,6,4,3,4,3,4,6
"1111","lcl|c231083_g2_i1|m.15952",0,2,1,1,2,2,1,1,3,3,2,2
"1112","lcl|c231281_g6_i3|m.16097",17,16,17,15,20,19,11,15,9,16,16,21
"1113","lcl|c231310_g2_i3|m.16119",1,1,1,2,3,1,1,1,1,1,1,2
"1114","lcl|c231460_g1_i4|m.16283",2,0,0,1,0,1,1,2,1,1,3,1
"1115","lcl|c231698_g2_i1|m.16532",2,1,0,1,1,1,2,1,2,0,0,1
"1116","lcl|c231737_g1_i3|m.16576",1,1,1,0,1,1,0,0,0,1,1,1
"1117","lcl|c231744_g6_i2|m.16589",1,2,1,1,2,2,1,1,1,1,2,2
"1118","lcl|c231891_g1_i1|m.16759",10,6,7,5,12,8,6,6,6,9,8,6
"1119","lcl|c206427_g2_i1|m.1540",3,5,3,3,4,4,3,5,4,4,5,4
"1120","lcl|c231929_g5_i1|m.16788",1,1,0,1,1,3,2,2,2,1,2,1
"1121","lcl|c231931_g2_i1|m.16792",8,7,4,9,10,9,4,8,7,10,7,12
"1122","lcl|c231956_g3_i1|m.16823",0,1,1,1,2,2,0,0,0,1,1,0
"1123","lcl|c231988_g7_i3|m.16894",3,5,6,7,6,9,1,3,1,8,5,8
"1124","lcl|c232008_g1_i2|m.16909",1,2,1,1,0,1,0,2,1,0,3,2
"1125","lcl|c232105_g3_i1|m.16994",3,4,3,4,2,3,4,2,4,4,4,4
"1126","lcl|c232115_g3_i10|m.17010",2,1,1,1,0,1,4,2,1,1,2,0
"1127","lcl|c232137_g2_i1|m.17041",2,0,1,0,1,1,0,1,1,0,1,2
"1128","lcl|c232182_g2_i1|m.17105",0,0,2,2,2,1,2,1,1,0,1,0
"1129","lcl|c206524_g1_i2|m.1555",0,0,0,1,3,1,0,0,0,2,0,1
"1130","lcl|c232242_g3_i1|m.17174",6,5,3,3,3,4,2,7,2,5,3,5
"1131","lcl|c232294_g5_i11|m.17226",1,0,1,1,1,1,1,1,1,2,1,1
"1132","lcl|c232294_g5_i11|m.17227",2,1,1,2,1,1,2,0,1,1,2,1
"1133","lcl|c232338_g2_i2|m.17255",1,2,3,2,2,2,1,1,1,1,3,2
"1134","lcl|c232376_g1_i2|m.17310",0,1,1,1,2,1,2,1,0,3,0,1
"1135","lcl|c232386_g2_i1|m.17314",0,1,0,0,0,0,0,0,1,1,1,1
"1136","lcl|c232401_g7_i2|m.17338",2,5,4,5,4,4,4,3,3,4,4,5
"1137","lcl|c232424_g1_i6|m.17358",7,7,6,4,7,7,6,8,6,7,6,6
"1138","lcl|c232440_g3_i1|m.17372",1,1,0,2,0,1,0,1,1,1,1,0
"1139","lcl|c232540_g2_i1|m.17495",4,1,2,2,2,1,2,1,3,3,2,3
"1140","lcl|c207018_g1_i2|m.1610",1,5,4,2,5,3,1,0,1,1,1,2
"1141","lcl|c232541_g3_i1|m.17498",3,2,1,4,2,3,4,3,2,3,3,3
"1142","lcl|c232587_g1_i15|m.17560",4,1,4,3,3,2,2,4,5,3,5,3
"1143","lcl|c232634_g2_i3|m.17627",0,0,0,2,0,1,1,0,0,0,0,0
"1144","lcl|c232676_g1_i2|m.17666",3,2,1,2,2,1,2,3,4,1,3,1
"1145","lcl|c232684_g7_i2|m.17670",2,2,1,1,2,2,1,2,2,2,2,2
"1146","lcl|c232692_g3_i1|m.17680",0,0,1,1,2,0,2,1,2,1,1,0
"1147","lcl|c232696_g3_i2|m.17688",2,1,1,1,1,1,2,1,0,0,2,2
"1148","lcl|c232697_g2_i4|m.17690",0,1,1,0,0,1,1,1,0,0,1,0
"1149","lcl|c232716_g1_i2|m.17708",7,9,11,10,6,13,13,16,6,12,13,8
"1150","lcl|c232731_g2_i1|m.17722",1,1,2,2,3,4,0,0,0,1,1,1
"1151","lcl|c207857_g1_i1|m.1690",2,4,4,3,6,7,0,0,0,2,4,4
"1152","lcl|c232736_g7_i11|m.17724",2,2,3,2,1,1,1,1,1,1,2,1
"1153","lcl|c232739_g3_i2|m.17726",4,4,4,5,5,6,2,4,4,5,5,7
"1154","lcl|c232744_g5_i2|m.17733",3,4,2,2,3,3,1,2,3,6,2,0
"1155","lcl|c232769_g4_i2|m.17751",2,0,1,1,3,1,3,3,3,1,3,2
"1156","lcl|c232791_g2_i3|m.17780",0,1,2,1,0,2,4,1,5,1,3,1
"1157","lcl|c232813_g1_i6|m.17800",3,1,2,2,2,0,3,2,2,2,1,2
"1158","lcl|c232813_g3_i2|m.17801",3,3,2,1,1,2,1,1,0,2,2,1
"1159","lcl|c232830_g1_i6|m.17822",0,0,1,0,1,1,1,1,2,1,1,1
"1160","lcl|c232834_g2_i9|m.17824",2,3,2,2,2,4,2,3,2,4,2,1
"1161","lcl|c232842_g1_i1|m.17827",2,0,0,1,1,0,1,2,1,2,2,1
"1162","lcl|c207967_g2_i1|m.1713",3,3,1,3,2,2,1,3,2,2,1,3
"1163","lcl|c232864_g1_i1|m.17844",0,0,1,0,3,2,2,3,2,0,1,3
"1164","lcl|c232986_g1_i4|m.17993",2,17,15,20,18,16,1,3,2,11,14,19
"1165","lcl|c233001_g2_i4|m.18006",14,17,15,13,16,16,9,17,14,24,18,22
"1166","lcl|c233011_g1_i2|m.18023",0,0,0,0,2,2,2,1,0,0,1,1
"1167","lcl|c233014_g2_i1|m.18039",2,1,0,1,1,1,0,1,1,1,1,0
"1168","lcl|c233033_g3_i4|m.18064",0,0,1,1,0,0,2,2,1,0,3,2
"1169","lcl|c233138_g2_i2|m.18184",0,2,1,0,0,1,1,1,1,2,2,1
"1170","lcl|c233143_g2_i13|m.18204",4,3,2,3,4,2,0,0,1,2,3,3
"1171","lcl|c233156_g1_i1|m.18213",2,1,3,2,2,2,3,3,3,2,2,3
"1172","lcl|c233209_g3_i2|m.18272",0,1,1,2,3,2,0,0,0,2,3,3
"1173","lcl|c233212_g2_i5|m.18273",4,3,4,2,1,2,2,3,4,2,4,3
"1174","lcl|c233247_g1_i1|m.18311",1,2,3,3,0,2,1,3,1,3,2,3
"1175","lcl|c233449_g1_i1|m.18576",1,2,2,3,2,2,2,2,0,1,3,2
"1176","lcl|c233474_g3_i1|m.18592",1,5,4,8,7,6,1,2,5,7,5,10
"1177","lcl|c209191_g2_i1|m.1916",1,2,2,2,2,2,2,1,2,2,3,2
"1178","lcl|c233552_g1_i1|m.18704",32,30,22,28,30,29,24,38,29,36,34,36
"1179","lcl|c233739_g2_i1|m.18929",13,16,11,9,11,17,11,19,12,16,17,12
"1180","lcl|c233818_g2_i6|m.19032",3,5,7,4,6,9,4,5,7,7,8,8
"1181","lcl|c233840_g3_i1|m.19060",0,2,4,6,8,5,1,0,0,7,2,9
"1182","lcl|c233848_g8_i1|m.19070",0,1,0,1,0,0,1,1,2,1,1,1
"1183","lcl|c233857_g2_i2|m.19091",60,48,41,47,42,41,58,61,46,53,58,52
"1184","lcl|c233857_g2_i5|m.19099",33,24,27,32,25,31,40,33,34,29,31,33
"1185","lcl|c233857_g2_i7|m.19100",48,36,40,45,36,38,51,48,47,41,46,53
"1186","lcl|c233922_g1_i2|m.19174",1,2,1,0,1,1,0,1,2,1,2,1
"1187","lcl|c234004_g4_i3|m.19315",6,3,3,3,1,1,7,6,5,4,2,3
"1188","lcl|c209565_g1_i2|m.1999",9,5,6,8,5,9,7,10,4,11,11,11
"1189","lcl|c234030_g1_i1|m.19351",1,1,2,0,2,1,0,0,0,2,1,1
"1190","lcl|c234041_g5_i1|m.19364",1,0,0,2,1,2,1,2,2,3,3,2
"1191","lcl|c234075_g1_i1|m.19400",1,5,2,2,5,3,2,2,4,6,1,4
"1192","lcl|c234108_g1_i2|m.19454",1,2,0,1,3,3,0,0,1,2,2,2
"1193","lcl|c234128_g2_i3|m.19499",0,2,1,1,5,3,0,0,0,3,0,5
"1194","lcl|c234140_g5_i2|m.19531",1,2,3,4,1,3,4,1,5,3,2,3
"1195","lcl|c234277_g5_i1|m.19677",1,1,1,2,5,3,4,4,2,1,0,0
"1196","lcl|c234352_g2_i1|m.19757",3,2,3,2,4,5,3,4,2,5,2,4
"1197","lcl|c234380_g5_i3|m.19780",7,4,8,7,8,5,8,5,8,8,7,8
"1198","lcl|c234511_g2_i1|m.19914",2,0,0,0,1,2,1,2,1,1,1,3
"1199","WP_034241580.1",0,0,0,0,1,0,1,1,0,0,0,0
"1200","lcl|c209565_g1_i2|m.2000",3,2,1,2,2,2,1,3,2,3,2,2
"1201","lcl|c234544_g3_i2|m.19959",1,2,1,1,2,2,1,1,1,1,1,1
"1202","lcl|c234546_g4_i6|m.19966",1,3,2,4,4,4,0,0,0,3,4,4
"1203","lcl|c234620_g1_i2|m.20040",0,0,2,0,0,0,0,0,0,0,0,1
"1204","lcl|c234657_g3_i4|m.20097",1,1,3,1,1,2,1,0,1,1,3,2
"1205","lcl|c234788_g2_i3|m.20258",5,1,3,2,2,3,3,2,2,2,3,5
"1206","lcl|c234877_g1_i1|m.20373",2,6,5,7,12,6,2,2,2,3,4,5
"1207","lcl|c234998_g3_i1|m.20493",4,1,1,0,1,2,2,1,0,0,1,1
"1208","lcl|c209757_g1_i1|m.2044",5,3,4,4,5,4,5,3,6,6,7,6
"1209","lcl|c235036_g1_i1|m.20514",5,4,3,4,7,4,3,2,4,5,3,6
"1210","lcl|c235213_g4_i11|m.20710",5,4,2,5,3,5,5,3,7,3,5,4
"1211","lcl|c235384_g3_i1|m.20867",2,1,2,4,1,2,3,1,2,1,2,1
"1212","lcl|c235389_g5_i2|m.20890",2,1,3,3,3,3,3,3,4,3,3,4
"1213","lcl|c235399_g7_i4|m.20891",5,4,5,6,5,7,6,8,6,6,6,3
"1214","lcl|c235481_g2_i1|m.20956",6,4,1,2,1,1,1,3,2,3,3,2
"1215","lcl|c235526_g4_i1|m.21004",3,2,0,2,2,2,2,2,4,1,2,4
"1216","lcl|c235563_g1_i10|m.21080",1,3,2,3,4,3,2,1,1,2,2,4
"1217","lcl|c210150_g1_i1|m.2119",2,1,1,1,1,2,2,2,1,1,1,0
"1218","lcl|c235690_g8_i1|m.21219",2,2,1,1,2,2,1,2,1,2,2,1
"1219","lcl|c235712_g3_i3|m.21245",4,3,2,3,5,4,3,2,3,3,3,3
"1220","lcl|c235735_g2_i4|m.21279",3,11,10,9,11,12,5,7,6,8,11,14
"1221","lcl|c235757_g3_i5|m.21305",4,1,2,3,3,4,3,2,3,4,4,4
"1222","lcl|c235820_g1_i1|m.21351",0,1,1,1,1,1,1,3,1,0,2,3
"1223","lcl|c235850_g2_i3|m.21382",0,1,0,2,0,2,2,1,0,0,1,1
"1224","lcl|c236037_g2_i3|m.21607",3,2,0,3,2,1,3,1,1,4,1,2
"1225","lcl|c236073_g1_i1|m.21645",0,1,1,1,2,2,0,0,0,0,0,0
"1226","lcl|c210226_g1_i1|m.2139",5,4,4,6,5,4,4,4,6,6,5,5
"1227","lcl|c236101_g5_i2|m.21702",1,0,2,1,0,0,0,2,1,0,1,0
"1228","lcl|c236120_g2_i1|m.21731",0,0,1,1,0,1,1,1,1,1,1,0
"1229","lcl|c236464_g4_i2|m.22144",2,2,0,0,0,0,1,2,0,0,1,0
"1230","lcl|c236523_g2_i4|m.22204",13,23,18,23,24,29,20,13,17,26,26,25
